deposit_id,account_id,amount,deposit_type,date
3313c598-5e24-4f90-a959-7f68c8f18fc1,2752,20.2,Monthly,2024-05-11
1502c4eb-1fbd-48b7-9079-b1c579a9fd51,1119,5.38,OneOff,2024-12-07
cf4b7932-6027-49da-9d5c-7a292a0bfe3a,1981,92.51,Monthly,2025-10-07
c744e2d6-b05c-457f-963f-cd965ed3c15f,1813,46.63,Monthly,2024-12-09
19ffbca6-fe69-4040-b217-b48253ed1afd,1768,54.56,OneOff,2025-03-16
8f5e3cd5-57d4-4f4f-bed3-b82d40a8d309,126,12.87,Roundup,2024-03-04
ed8420a5-c5b7-4d14-9c9e-3ee01ec3a768,115,92.86,Roundup,2024-08-06
a10e6e0d-8e84-4bdc-9e12-9f595e4cf3e3,2670,98.85,Monthly,2024-01-16
a150cc50-4dc5-40a5-9804-3aee1113f803,603,12.83,Monthly,2023-12-12
1a6a7790-c219-42f0-88f1-96e7d00fa623,544,50.0,Roundup,2024-03-10
f8d96a86-81ae-4d52-8015-6ea61fbf6650,278,37.11,Roundup,2025-09-10
6f31ca29-ade2-450e-9543-62922e533499,2302,80.64,Monthly,2025-06-20
f33f0f5d-62dd-4a2b-bd0a-cc1e1fda2af4,1992,56.69,Monthly,2024-06-07
af51c42f-c33a-494d-b0b2-784ce5c8fe86,2853,93.36,OneOff,2024-07-02
d6ed3ee1-4d93-40f2-96d9-c01670fbe813,2995,21.4,OneOff,2024-07-19
1df9bf02-32c3-4693-a5ae-f97143d84843,536,22.76,Monthly,2023-12-08
b2e0a44d-ef3b-4504-8798-b2309b8ba979,393,98.47,Monthly,2025-03-04
35d2133d-533e-4ab3-9226-c7a528331c85,1919,55.48,Monthly,2025-03-28
1c90cba1-5c2b-4817-81c0-b94546b932eb,1808,2.7,Monthly,2025-10-15
ce698c33-4073-462f-ad88-1486d2f6684f,467,20.19,OneOff,2024-02-06
83ee1ade-34d2-4219-9fac-d86dac4f87ef,128,28.87,OneOff,2025-09-09
51397482-54b5-432d-88c4-59874c8d022b,1581,57.85,Roundup,2024-07-23
af65fe29-98a7-483c-a2b8-b640cc08d9ad,416,50.29,Roundup,2024-11-29
c880152a-543f-41f2-b79e-00799d498381,1171,63.27,OneOff,2025-02-04
c3ac675f-01a6-40ab-85e0-bab6fbd611a8,1004,81.45,OneOff,2024-02-07
469695ef-abfa-404c-b90b-34530f3b5bd8,1110,7.1,Monthly,2025-09-06
cbfee3de-b169-48cc-8c47-9a8b57411641,819,17.79,Roundup,2025-05-24
63dd0476-9733-4480-921c-6af1272bc1b2,342,88.65,OneOff,2024-04-08
110bc5bc-3571-40c6-90ba-7607fc20c41f,2413,91.42,OneOff,2024-02-06
3de22b22-8403-49c3-8a01-7574365a194e,2605,3.22,OneOff,2025-02-01
ad1dd051-01f5-4836-a617-8010fd91f1f6,1748,9.51,Roundup,2024-12-15
3889dc68-7efa-44cd-b772-c13d773e9459,2454,59.7,Roundup,2024-09-07
cf30baef-2004-4718-8e32-911b3957e586,2750,71.72,Monthly,2025-03-30
bbe6f070-9c42-4a2b-9636-9f7ba99f064b,1160,37.79,OneOff,2025-05-20
3369ef4a-5829-48ba-bf98-3a503d1b5c34,1847,13.8,Roundup,2025-09-22
f9b4166b-bd6a-4eff-bdbe-34b9040f4c61,2974,17.06,Monthly,2025-09-15
c1e21790-455b-457d-bec0-492114a350da,2911,51.05,Roundup,2024-04-13
eb345a30-7fab-4f89-a652-3f0638471272,2327,60.79,Monthly,2024-06-27
e2f23eb5-24bd-4d87-b7b9-dc36b9d3a745,2183,77.6,Roundup,2024-03-13
830eb82e-b64e-4538-93a7-93601d287049,2921,64.81,Roundup,2025-06-05
cfc753b4-d58b-43a6-b759-fa2c3d55b092,758,57.97,Monthly,2024-06-20
698def53-0251-4bed-a9e3-a88f7dff579c,1722,36.01,Monthly,2024-03-19
3df846de-f761-492e-90a6-02070d1db0a7,2145,10.21,OneOff,2025-07-23
9add17ed-e62f-478e-960c-485c8db1be6c,1363,10.06,Roundup,2023-12-07
ade42023-bae3-48a4-88a0-c13a1bda03a1,2823,82.3,Monthly,2024-08-06
51f4e8c1-cf22-4d12-af2b-5fb0296a2d70,2324,91.22,OneOff,2025-01-09
d4ae8756-ff19-4e90-9e76-58dbf8429b56,2437,23.45,Monthly,2025-09-20
742c2b96-6c7b-4b89-aea9-39e29c131877,1603,2.81,Roundup,2024-10-17
a4873772-3f16-44e8-8da6-f1212aff0b04,1168,33.11,Monthly,2024-11-12
330a885f-49e0-41e1-bac3-4c5f3ea06c37,2363,10.31,OneOff,2025-05-11
