product_id,date,nav_price
1,2022-01-01,1.566
2,2022-01-01,2.024
3,2022-01-01,1.899
4,2022-01-01,2.156
5,2022-01-01,1.314
1,2022-01-02,2.181
2,2022-01-02,1.381
3,2022-01-02,1.557
4,2022-01-02,2.269
5,2022-01-02,1.202
1,2022-01-03,2.332
2,2022-01-03,2.261
3,2022-01-03,1.703
4,2022-01-03,2.344
5,2022-01-03,1.347
1,2022-01-04,1.619
2,2022-01-04,2.257
3,2022-01-04,2.375
4,2022-01-04,2.296
5,2022-01-04,2.249
1,2022-01-05,1.676
2,2022-01-05,2.108
3,2022-01-05,1.242
4,2022-01-05,1.376
5,2022-01-05,1.677
1,2022-01-06,2.043
2,2022-01-06,2.073
3,2022-01-06,1.723
4,2022-01-06,1.051
5,2022-01-06,1.188
1,2022-01-07,1.778
2,2022-01-07,1.94
3,2022-01-07,2.199
4,2022-01-07,1.051
5,2022-01-07,1.721
1,2022-01-08,2.369
2,2022-01-08,1.844
3,2022-01-08,1.707
4,2022-01-08,1.943
5,2022-01-08,1.7
1,2022-01-09,1.495
2,2022-01-09,1.72
3,2022-01-09,1.81
4,2022-01-09,1.909
5,2022-01-09,2.019
1,2022-01-10,1.828
2,2022-01-10,1.613
3,2022-01-10,1.261
4,2022-01-10,1.291
5,2022-01-10,1.17
1,2022-01-11,1.907
2,2022-01-11,1.489
3,2022-01-11,1.386
4,2022-01-11,1.847
5,2022-01-11,1.185
1,2022-01-12,1.181
2,2022-01-12,1.979
3,2022-01-12,1.42
4,2022-01-12,1.926
5,2022-01-12,1.93
1,2022-01-13,2.043
2,2022-01-13,1.577
3,2022-01-13,1.757
4,2022-01-13,1.416
5,2022-01-13,1.703
1,2022-01-14,1.815
2,2022-01-14,1.195
3,2022-01-14,1.563
4,2022-01-14,1.392
5,2022-01-14,1.073
1,2022-01-15,1.987
2,2022-01-15,2.235
3,2022-01-15,2.383
4,2022-01-15,2.331
5,2022-01-15,2.057
1,2022-01-16,2.347
2,2022-01-16,1.096
3,2022-01-16,1.181
4,2022-01-16,1.498
5,2022-01-16,0.998
1,2022-01-17,1.088
2,2022-01-17,1.424
3,2022-01-17,1.252
4,2022-01-17,1.68
5,2022-01-17,1.551
1,2022-01-18,1.713
2,2022-01-18,1.502
3,2022-01-18,1.453
4,2022-01-18,2.478
5,2022-01-18,1.847
1,2022-01-19,0.885
2,2022-01-19,1.863
3,2022-01-19,1.805
4,2022-01-19,1.935
5,2022-01-19,1.244
1,2022-01-20,1.5
2,2022-01-20,1.587
3,2022-01-20,1.132
4,2022-01-20,1.196
5,2022-01-20,1.061
1,2022-01-21,2.208
2,2022-01-21,1.762
3,2022-01-21,1.466
4,2022-01-21,1.98
5,2022-01-21,1.203
1,2022-01-22,1.478
2,2022-01-22,2.372
3,2022-01-22,1.298
4,2022-01-22,1.855
5,2022-01-22,2.166
1,2022-01-23,1.308
2,2022-01-23,0.972
3,2022-01-23,2.1
4,2022-01-23,2.573
5,2022-01-23,1.704
1,2022-01-24,1.217
2,2022-01-24,1.459
3,2022-01-24,0.984
4,2022-01-24,2.271
5,2022-01-24,1.35
1,2022-01-25,2.395
2,2022-01-25,1.627
3,2022-01-25,1.695
4,2022-01-25,2.289
5,2022-01-25,1.059
1,2022-01-26,1.097
2,2022-01-26,2.238
3,2022-01-26,2.244
4,2022-01-26,2.078
5,2022-01-26,2.294
1,2022-01-27,2.03
2,2022-01-27,1.287
3,2022-01-27,2.061
4,2022-01-27,2.086
5,2022-01-27,1.777
1,2022-01-28,1.483
2,2022-01-28,1.298
3,2022-01-28,1.573
4,2022-01-28,1.176
5,2022-01-28,1.109
1,2022-01-29,1.18
2,2022-01-29,1.249
3,2022-01-29,2.008
4,2022-01-29,1.649
5,2022-01-29,2.23
1,2022-01-30,1.621
2,2022-01-30,2.31
3,2022-01-30,1.917
4,2022-01-30,1.164
5,2022-01-30,1.704
1,2022-01-31,0.961
2,2022-01-31,2.063
3,2022-01-31,1.065
4,2022-01-31,1.007
5,2022-01-31,2.322
1,2022-02-01,1.406
2,2022-02-01,1.473
3,2022-02-01,1.633
4,2022-02-01,1.87
5,2022-02-01,1.267
1,2022-02-02,2.241
2,2022-02-02,1.678
3,2022-02-02,1.532
4,2022-02-02,2.48
5,2022-02-02,0.966
1,2022-02-03,2.578
